task_id,original_question,source_dataset,correct_answer,correct_path_cypher,malicious_answer,malicious_path_cypher,annotator,status
webqsp_WebQTrn-1625,what movies does alyson stoner play in,webqsp,A Cinderella Story: Once Upon a Song (m.0gky0pl) | Alice Upside Down (m.047f43s) | Alyson Stoner Project (m.04crzpz) | Camp Rock (m.02w4by3) | Camp Rock 2: The Final Jam (m.080b54x) | Cheaper by the Dozen (m.02bqvs) | Cheaper by the Dozen 2 (m.066b_n) | Garfield: The Movie (m.01yzvd) | Holly Hobbie and Friends: Christmas Wishes (m.026k503) | Holly Hobbie and Friends: Surprise Party (m.0bnns7) | Kung Fu Magoo (m.09v9fw5) | Phineas and Ferb the Movie: Across the 2nd Dimension (m.0bh9n8g) | Step Up (m.0b73wst) | Step Up 3D (m.064016d) | Step Up: All In (m.0ztfxbv) | Super Buddies (m.0wq4q7j) | The Little Engine That Could (m.0gj8r0x) | Yin Yang Yo! The Movie (m.0by1x51),,,,,pending
webqsp_WebQTrn-194,what are the 5 biggest cities in the usa,webqsp,Chicago (m.01_d4) | Houston (m.03l2n) | Los Angeles (m.030qb3t) | New York City (m.02_286) | Philadelphia (m.0dclg),,,,,pending
webqsp_WebQTrn-2674,where is usc from,webqsp,California (m.01n7q) | Columbia (m.0fv_t) | Los Angeles (m.030qb3t) | South Carolina (m.06yxd) | United States of America (m.09c7w0),,,,,pending
webqsp_WebQTrn-1924,where is the warmest weather in the united states in december,webqsp,Miami (m.0f2v0),,,,,pending
webqsp_WebQTrn-3087,what does united church of christ believe,webqsp,Christianity (m.01lp8),,,,,pending
webqsp_WebQTrn-263,what country did james cook come from,webqsp,Kingdom of Great Britain (m.014tss) | United Kingdom (m.07ssc),,,,,pending
webqsp_WebQTrn-463,where is the euro 2012 tournament,webqsp,Donetsk (m.02qbpd) | Gda¨½sk (m.035m6) | Kharkiv (m.082sy9) | Kiev (m.02sn34) | Lviv (m.0d7_n) | Pozna¨½ (m.05xnv) | Warsaw (m.081m_) | Wroc?aw (m.0845b),,,,,pending
webqsp_WebQTrn-2627,what was king louis xiv religion,webqsp,Catholicism (m.0c8wxp),,,,,pending
webqsp_WebQTrn-1847,who was the wife of king edward vii,webqsp,Alexandra of Denmark (m.0d1pv),,,,,pending
webqsp_WebQTrn-1377,what are shirley temple kids names,webqsp,Charles Alden Black Jr. (m.0gy7501) | Linda Susan Agar (m.0gy7508) | Lori Black (m.028bpn9),,,,,pending
webqsp_WebQTrn-2853,what role did tom cruise play in endless love,webqsp,Billy (m.02nwdmb),,,,,pending
webqsp_WebQTrn-1374,what kind of system of government does the united states have,webqsp,Constitutional republic (m.0c9rw5) | Federal republic (m.0j729) | Presidential system (m.01d9r3),,,,,pending
webqsp_WebQTrn-2927,what county is novato in,webqsp,Marin County (m.0l2hf),,,,,pending
webqsp_WebQTrn-2691,who played nba finals 2010,webqsp,Boston Celtics (m.0bwjj) | Los Angeles Lakers (m.0jmk7),,,,,pending
webqsp_WebQTrn-366,who was mary 's mother,webqsp,Saint Anne (m.0121n2),,,,,pending
webqsp_WebQTrn-356,what continent is south africa part of,webqsp,Africa (m.0dg3n1),,,,,pending
webqsp_WebQTrn-3038,where was benjamin franklin raised,webqsp,Boston (m.01cx_),,,,,pending
webqsp_WebQTrn-3470,what office does boehner hold,webqsp,Majority leader (m.04krrl) | Minority leader (m.0499g1) | Speaker of the United States House of Representatives (m.0cgqx) | United States Representative (m.02_bcst),,,,,pending
webqsp_WebQTrn-111,what is the local language of israel,webqsp,Arabic Language (m.0jzc) | English Language (m.02h40lc) | Hebrew Language (m.03hkp) | Ladino Language (m.04p7x) | Lojban (m.04gd7) | Yiddish Language (m.0880p),,,,,pending
webqsp_WebQTrn-3141,where was anne hathaway born,webqsp,Brooklyn (m.0cr3d),,,,,pending
webqsp_WebQTrn-137,what jobs did ben franklin do,webqsp,Author (m.0kyk) | Diplomat (m.080ntlp) | Inventor (m.03sbb) | Librarian (m.01l5t6) | Musician (m.09jwl) | Political activist (m.05svgpc) | Politician (m.0fj9f) | Printer (m.05r6c) | Satirist (m.02kv97_) | Scientist (m.06q2q) | Statesman (m.016fc2) | Writer (m.0cbd2),,,,,pending
webqsp_WebQTrn-1442,who was the grandson of king david 's father,webqsp,Jesse (m.01ndvc),,,,,pending
webqsp_WebQTrn-889,who play luke skywalker,webqsp,Bob Bergen (m.07l4yc) | Mark Hamill (m.0154d7),,,,,pending
webqsp_WebQTrn-1411,where did harry truman die,webqsp,Kansas City (m.04f_d),,,,,pending
webqsp_WebQTrn-1816,what part does seth macfarlane play in family guy,webqsp,Brian Griffin (m.03pcvr) | Carter Pewterschmidt (g.12245v14) | Dr. Elmer Hartman (m.05sr4zg) | Glenn Quagmire (m.01sxhc) | God (m.02nw87f) | Jake Tucker (m.05ss3k_) | Jasper (m.05sr4x5) | Kevin Swanson (g.120yrd_6) | Kool-aid Guy (m.05sr4_d) | Mickey McFinnegan (m.028b1c8) | Nate Griffin (m.05srj40) | Peter Griffin (m.03n6jv) | Seamus (m.05sr4_s) | Stewie Griffin (m.02m29p) | Tom Tucker (m.026q0lb),,,,,pending
webqsp_WebQTrn-1737,who is nolan ryan married to,webqsp,Ruth Holdorff (m.0j6x0cl),,,,,pending
webqsp_WebQTrn-3731,where did dr. martin luther king jr. go to school,webqsp,Boston University (m.0gl5_) | Crozer Theological Seminary (m.06yr21) | Morehouse College (m.01_r9k) | Washington High School (m.0479w_2),,,,,pending
webqsp_WebQTrn-574,what is the very first harry potter book,webqsp,Harry Potter and the Philosopher's Stone (m.0c_vk),,,,,pending
webqsp_WebQTrn-2558,what language do they speak in indonesia,webqsp,Bali Language (m.0201jz) | Batak Language (m.075yc64) | Dutch Language (m.02bv9) | English Language (m.02h40lc) | Indonesian Language (m.097kp) | Javanese Language (m.02hwx1l) | Madura Language (m.020257) | Malay Language (m.0y1mh) | Sunda Language (m.01qzl2) | Tobelo Language (m.0f9fsf),,,,,pending
webqsp_WebQTrn-3208,who owns the chrysler corporation,webqsp,Bob Lutz (m.045gvw) | James E. Press (m.03wxn4s) | Peter A. Magowan (m.07_cph) | Robert J. Eaton (m.03wy5t7) | Robert S. Miller (m.03bqbv6),,,,,pending
webqsp_WebQTrn-1219,who were michael jackson 's brothers and sisters,webqsp,Brandon Jackson (m.0nf3l7y) | Jackie Jackson (m.01s993) | Janet Jackson (m.0gbwp) | Jermaine Jackson (m.01zmpg) | Joh'Vonnie Jackson (m.0598rr3) | La Toya Jackson (m.013v5j) | Marlon Jackson (m.023_5s) | Randy Jackson (m.04_70v) | Rebbie Jackson (m.0247h4) | Tito Jackson (m.01s9b9),,,,,pending
webqsp_WebQTrn-17,which kennedy died first,webqsp,"Joseph P. Kennedy, Jr. (m.020t1x)",,,,,pending
webqsp_WebQTrn-3624,where did will smith go to high school,webqsp,Overbrook High School (m.05bk47),,,,,pending
webqsp_WebQTrn-1843,who is the publisher of the wall street journal,webqsp,Dow Jones & Company (m.0clj7) | News Corporation (m.0sxdg),,,,,pending
webqsp_WebQTrn-3710,where was dr luther king jr born,webqsp,Atlanta (m.013yq),,,,,pending
webqsp_WebQTrn-2436,on which river is paris,webqsp,Seine (m.0f3vz),,,,,pending
webqsp_WebQTrn-2555,what do do in new york,webqsp,A.I.R. Gallery (m.026cv0z) | American Folk Art Museum (m.051vfm) | American Museum of Natural History (m.023r9j) | Andrew Carnegie Mansion (m.02vz0kx) | Battery Park (m.04sr12) | Broadway Theatre (m.0bz7bg) | Brooklyn Botanic Garden (m.01rxnm) | Brooklyn Bridge (m.0cv4c) | Central Park (m.09c7v) | Central Park Zoo (m.04h9fs) | Chelsea Art Museum (m.0403zkg) | Chinatown (m.0pnb8) | Chrysler Building (m.01zmd) | Crocheron Park (m.0_ymbw6) | Darien Lake (m.02hjvb) | Empire State Building (m.02nd_) | Felix M. Warburg House (m.0by0zd5) | Flatiron Building (m.01lnd3) | Franklin D. Roosevelt Presidential Library and Museum (m.04q4sg) | Freedomland U.S.A. (m.02qz9w) | Frick Collection (m.021848) | FusionArts Museum (m.04053sn) | Gavin Brown's Enterprise (m.0bh8czr) | George Gustav Heye Center (m.03vstx) | Grand Central Terminal (m.01rz3c) | Headless Horseman Hayrides (m.03cfv35) | Henry Clay Frick House (m.0c02dld) | High Line (m.07jwwf) | Imagination Playground at Burling Slip (m.0n5wy3b) | International Center of Photography (m.051xk9) | Japan Society of New York (m.06nhn3) | Little Italy (m.01nbpn) | Louis Armstrong House (m.02z7b9_) | Madison Square Garden (m.0j_66) | Metropolitan Museum of Art (m.09c7b) | Morgan Library & Museum (m.0537mx) | Museum of Arts and Design (m.0gy74y) | Museum of Mathematics (m.0jwvjyz) | Museum of Modern Art (m.0hhjk) | Museum of Modern Art Department of Film (m.0989yy) | Museum of Sex (m.09sjx5) | National Academy Museum and School (m.048ltn) | New York Aquarium (m.09sg3h) | New York City Half Marathon (m.05f80pd) | New York International Fringe Festival (m.0brl0p) | New York Mini 10K (m.0cc65g0) | New York Public Library for the Performing Arts (m.04q3k0p) | Peking (m.06fybq) | Rockefeller Center (m.0163ff) | Solomon R. Guggenheim Museum (m.0j32d_5) | Solomon R. Guggenheim Museum (m.0q9h2) | St. Patrick's Cathedral (m.01kht3) | Staten Island Ferry (m.01rxr7) | Statue of Liberty (m.072p8) | Statue of Liberty National Monument (m.04jpg0f) | Tesla Science Center at Wardenclyffe (m.0ll4_ht) | The Cloisters (m.01rs7b) | Theodore Roosevelt Birthplace National Historic Site (m.07trd0) | Times Square (m.07qdr) | Travefy (m.012vvtp_) | UAE Healthy Kidney 10K (m.0jwy_gm) | United Nations Headquarters (m.019vsd) | Wave Hill (m.05t0ps),,,,,pending
webqsp_WebQTrn-2182,what college did ron jaworski go to,webqsp,Youngstown State University (m.02m4sc),,,,,pending
webqsp_WebQTrn-926,what was van gogh famous for,webqsp,Artist (m.0n1h) | Painter (m.02nxqmh) | Visual Artist (m.03hz6vv),,,,,pending
webqsp_WebQTrn-3761,what language do they speak brazil,webqsp,Brazilian Portuguese (m.02zj58) | Italian Language (m.02bjrlw) | Portuguese Language (m.05zjd),,,,,pending
webqsp_WebQTrn-1110,what language group does polish belong to,webqsp,Lechitic languages (m.013bdx),,,,,pending
webqsp_WebQTrn-2329,where did willy wonka take place,webqsp,Charlie and the Chocolate Factory (m.0fv9n) | Chocolate Factory Universe (m.04rn2rz),,,,,pending
webqsp_WebQTrn-2618,where did woodrow wilson go to school,webqsp,Davidson College (m.02pdhz) | Johns Hopkins University (m.09kvv) | Princeton University (m.05zl0) | University of Virginia School of Law (m.05qgd9),,,,,pending
webqsp_WebQTrn-638,where was dwight d. eisenhower from,webqsp,Denison (m.0101wz),,,,,pending
webqsp_WebQTrn-3354,where did michael jackson went to school,webqsp,Montclair College Preparatory School (m.06lhpy),,,,,pending
webqsp_WebQTrn-1675,which airport is closest to the city of chicago,webqsp,Chicago Midway International Airport (m.01l1jx) | O'Hare International Airport (m.01ky66),,,,,pending
webqsp_WebQTrn-150,what was nelson mandela 's religion,webqsp,Methodism (m.051kv),,,,,pending
webqsp_WebQTrn-1630,who raised queen victoria,webqsp,"Prince Edward, Duke of Kent and Strathearn (m.01c50q) | Princess Victoria of Saxe-Coburg-Saalfeld (m.024hvp)",,,,,pending
webqsp_WebQTrn-369,what is the government of spain today,webqsp,Constitutional monarchy (m.01q20) | Monarchy (m.04szc) | Parliamentary system (m.018wl5) | Unitary state (m.01fpfn),,,,,pending
webqsp_WebQTrn-2977,who is the coach of the pittsburgh steelers 2005,webqsp,Bill Cowher (m.04d2_x),,,,,pending
webqsp_WebQTrn-690,who all has jason kidd played for,webqsp,Brooklyn Nets (m.0jm3b) | Dallas Mavericks (m.0jmcv) | New York Knicks (m.0jm3v) | Phoenix Suns (m.0jml5),,,,,pending
webqsp_WebQTrn-2449,what four countries are in the united kingdom,webqsp,England (m.02jx1) | Northern Ireland (m.05bcl) | Scotland (m.06q1r) | Wales (m.0j5g9),,,,,pending
